"","predictionChanges","nChanges","variable","value"
"1",65,65,"overall",0.333043123632379
"2",65,65,"overall",0.167053659043697
"3",65,65,"overall",0.00333839033901318
"4",65,65,"overall",0.531986046000209
"5",65,65,"overall",0.444977913493033
"6",65,65,"overall",0.548431135475363
"7",65,65,"overall",0.125704398224831
"8",65,65,"overall",0.149921926889841
"9",65,65,"overall",0.142502198113865
"10",65,65,"overall",0.0755427148626057
"11",65,65,"negative",0.716286173655092
"12",65,65,"negative",0.253783114940828
"13",65,65,"negative",0.261544637856518
"14",65,65,"negative",0.795137400768441
"15",65,65,"negative",0.185534333779682
"16",65,65,"negative",0.426130807508172
"17",65,65,"negative",0.354674679212284
"18",65,65,"negative",0.608851280650697
"19",65,65,"negative",0.11091220149874
"20",65,65,"negative",0.116577388567044
"21",65,65,"neutral",0.342126909613415
"22",65,65,"neutral",0.431319840785322
"23",65,65,"neutral",0.232936564187695
"24",65,65,"neutral",0.963731867983642
"25",65,65,"neutral",0.526957770803801
"26",65,65,"neutral",0.723938062430746
"27",65,65,"neutral",0.859688294727769
"28",65,65,"neutral",0.996809718914395
"29",65,65,"neutral",0.85107588232977
"30",65,65,"neutral",0.779310839321121
"31",65,65,"positive",0.231814251643679
"32",65,65,"positive",0.562053435287234
"33",65,65,"positive",0.195051651793503
"34",65,65,"positive",0.82756464605351
"35",65,65,"positive",0.466107045564414
"36",65,65,"positive",0.898249824162138
"37",65,65,"positive",0.281365515913017
"38",65,65,"positive",0.545058843556466
"39",65,65,"positive",0.257325241042622
"40",65,65,"positive",0.586782636556036
